AQW00061705         252C
USC00124008         119R
USC00124181         180S
USC00124244          77R
USC00124272          99S
USC00124356          94R
USC00124527         212R
USC00124550         149R
USC00124657          36Q
USC00124662         135S
USC00124711         478Q
USC00124715         120S
USC00124730          89R
USC00124782          89R
USC00124837          87S
USC00124977          79Q
USC00125117         110R
USC00125174         144C
USC00125237         338S
USC00125337         135S
USC00125407         120S
USC00125658          49R
USC00126001         312S
USC00126164          84S
USC00126304         126R
USC00126400          30Q
USC00126420          40Q
USC00126435         167R
USC00126506          98R
USC00126580         167S
USC00126705         241S
USC00126830         246R
USC00126872         200R
USC00126989         103R
USC00127069         108R
USC00127102         106R
USC00127125         364S
USC00127298         157S
USC00127370         138S
USC00127482         104S
USC00127522         223S
USC00127646         105C
USC00127724         243S
USC00127755         198S
USC00127875         261S
USC00127935         148S
USC00127959         147R
USC00127999         160R
USC00128036         229S
USC00128290         132S
USC00128442         310Q
USC00128698         340S
USC00128723         357R
USC00128784         111R
USC00128967         413Q
USC00128992          54Q
USC00128999          74R
USC00129080         300R
USC00129112         308Q
USC00129113         313S
USC00129138         109R
USC00129222         135S
USC00129240          64S
USC00129253         280R
USC00129430         143C
USC00129511         144R
USC00129557         132S
USC00129670          97S
USC00129678          70S
USC00129724          48Q
USC00129905          92R
USC00130112         122S
USC00130133          83S
USC00130149         133R
USC00130157          76S
USC00130200         139S
USC00130203         112R
USC00130213         110S
USC00130241         236S
USC00130364         203S
USC00130385         115S
USC00130536         130S
USC00130576         224S
USC00130600         127S
USC00130608         168S
USC00130753         170S
USC00130807         133S
USC00130923          73S
USC00131060         166S
USC00131233         151C
USC00131257         103S
USC00131277          95S
USC00131319         156C
USC00131354         162R
USC00131394         161S
USC00131402          74C
USC00131442         165S
USC00131533         171R
USC00131541         152R
USC00131635         152C
USC00131705          86Q
USC00131710          99S
USC00131731         139S
USC00131833         149S
USC00131954          56C
USC00131962         139S
USC00132110         115S
USC00132171         182S
USC00132209         144R
USC00132299         162Q
USC00132364         144S
USC00132573         106S
USC00132603         125S
USC00132689          75S
USC00132724          96S
USC00132789         235C
USC00132864          66S
USC00132977          76S
USC00132999         126S
USC00133007         172C
USC00133288         130Q
USC00133290         283S
USC00133438         182S
USC00133473         107C
USC00133487          98C
USC00133509         173S
USC00133517         121S
USC00133584         103S
USC00133632         123R
USC00133718         163S
USC00133909          59Q
USC00133980          43R
USC00133985         138R
USC00134038         141R
USC00134049         102S
USC00134063         141S
USC00134101         233S
USC00134142         107S
USC00134228         156S
USC00134381         242S
USC00134389         307S
USC00134502         179S
USC00134561         223C
USC00134585         216S
USC00134705         160S
USC00134735         149S
USC00134758         175S
USC00134874         179Q
USC00134894         225S
USC00134963          75Q
USC00135086          82S
USC00135123         162S
USC00135131          89S
USC00135198         120S
USC00135230          81S
USC00135493         107S
USC00135769         152S
USC00135796         190S
USC00135837         198S
USC00135844         129R
USC00135952          70S
USC00135992         145S
USC00136103          65S
USC00136151         144R
USC00136199          30Q
USC00136200          78R
USC00136243         233S
USC00136305          63S
USC00136316         203R
USC00136327         133S
USC00136566         163C
USC00136719         155S
USC00136766          71R
USC00136800         133S
USC00136910         168R
USC00136940         237S
USC00137147         174S
USC00137161         106S
USC00137312         128S
USC00137386          84S
USC00137594          93S
USC00137613         281S
USC00137664         102S
USC00137669         220S
USC00137678         140S
USC00137700         219C
USC00137726         104S
USC00137844         145S
USC00137859          79R
USC00137892          32Q
USC00137979          90S
USC00138026          96R
USC00138266         130S
USC00138296         104S
USC00138339          90R
USC00138568         107S
USC00138688         172S
USC00138755          55R
USC00138806         109S
USC00139067         118S
USC00139132         130R
USC00140010         614S
USC00140200         460Q
USC00140201         616R
USC00140365         745S
USC00140405         241S
USC00140439         631S
USC00140682         394S
USC00140693         549R
USC00140800         763R
USC00140810         392Q
USC00140865         563S
USC00140957         281Q
USC00141029         541R
USC00141068         588R
USC00141179         328Q
USC00141351         357S
USC00141383         556S
USC00141408         278R
USC00141428         428R
USC00141522         606S
USC00141559         494S
USC00141612         306S
USC00141673         442Q
USC00141699         527S
USC00141704         671S
USC00141740         420S
USC00141761         383Q
USC00141858         380S
USC00141867         396S
USC00141874         434Q
USC00142401         401S
USC00142430         404R
USC00142432         673S
USC00142459         486R
USC00142548         393S
USC00142602         290R
USC00142622         428S
USC00142686         410R
USC00142773         486S
USC00142835         462S
USC00142894         445R
USC00142980         609S
USC00143008         375S
USC00143074         442S
USC00143100         544R
USC00143156         414Q
USC00143218         692S
USC00143223         494Q
USC00143239         561R
USC00143527         590S
USC00143545         522R
USC00143554         607S
USC00143594         424S
USC00143634         230Q
USC00143665         600R
USC00143686         304R
USC00143759         294S
USC00143810         317R
USC00143822         475S
USC00143837         413S
USC00143847         718S
USC00143855         639R
USC00143867         361R
USC00143929         470R
USC00143930         572S
USC00143954         502S
USC00143984         340S
USC00144087         606R
USC00144104         336R
USC00144114         687R
USC00144178         508S
USC00144313         608R
USC00144333         703R
USC00144357         575R
USC00144464         687C
USC00144530         520R
USC00144559         317R
USC00144588         388R
USC00144665         565R
USC00144695         729S
USC00144712         553R
USC00144857         404S
USC00144972         512S
USC00144982         426R
USC00145039         495S
USC00145063         390S
USC00145127         499R
USC00145152         555S
USC00145171         716R
USC00145173         699R
USC00145210         368R
USC00145306         422S
USC00145363         580R
USC00145421         537R
USC00145528         303S
USC00145536         446S
USC00145692         680R
